id,product_id,tag_id
7562,sotenco:11326736,1003441
7563,sotenco:11326736,1000886
7564,ishigakijimanoie:10003028,1003434
7565,ishigakijimanoie:10003028,1003679
7566,sotenco:11367982,1003686
7567,sotenco:11367982,1003687
7568,sotenco:11367982,1003782
7569,sotenco:11367982,1039853
7570,sotenco:11367982,1003441
7571,sotenco:11367982,1000886
7572,cherry-bomb:10000170,1003686
7573,cherry-bomb:10000170,1000905
7574,cherry-bomb:10000170,1003434
7575,cherry-bomb:10000170,1000876
7576,cherry-bomb:10000170,1003678
7577,kind-u:12892334,1003434
7578,kind-u:12892334,1000884
7579,page-to-sell-a-used:10392733,1000903
7580,page-to-sell-a-used:10392733,1003435
7581,page-to-sell-a-used:10392733,1000878
7582,page-to-sell-a-used:10392733,1003674
7583,page-to-sell-a-used:10392733,1024285
7584,page-to-sell-a-used:10392733,1003678
7585,phi777:10002994,1026112
7586,phi777:10002994,1000903
7587,phi777:10002994,1003785
7588,phi777:10002994,1005801
7589,phi777:10002994,1002995
7590,phi777:10002994,1000886
7591,phi777:10002994,1003673
7592,phi777:10002994,1003679
7593,allswell:10002671,1013797
7594,allswell:10002671,1003782
7595,kumacompany:10007027,1003782
7596,kumacompany:10007027,1000903
7597,kumacompany:10007027,1013424
7598,kumacompany:10007027,1002995
7599,kumacompany:10007027,1000884
7600,kumacompany:10007027,1000885
7601,kumacompany:10007027,1000886
7602,kumacompany:10007027,1003674
7603,kumacompany:10007027,1029949
7604,kumacompany:10007027,1003679
7605,3qshop:10001661,1000320
7606,3qshop:10001661,1000903
7607,3qshop:10001661,1000878
7608,3qshop:10001661,1016401
7609,3qshop:10001661,1000884
7610,3qshop:10001661,1000886
7611,3qshop:10001661,1001534
7612,3qshop:10001661,1029949
7613,3qshop:10001661,1000318
7614,3qshop:10001661,1000319
7615,vectorpremium:17519877,1000902
7616,vectorpremium:17519877,1000885
7617,vectorpremium:17519877,1000318
7618,jumblestore:23583216,1003434
7619,jumblestore:23583216,1000903
7620,jumblestore:23583216,1024295
7621,stylife:14116025,1000874
7622,stylife:14116025,1002995
7623,stylife:14116025,1003677
7624,stylife:14116025,1000886
7625,stylife:14116025,1024285
7626,tokiwa33:10004690,1002978
7627,tokiwa33:10004690,1002979
7628,tokiwa33:10004690,1016420
7629,tokiwa33:10004690,1013797
7630,tokiwa33:10004690,1016421
7631,tokiwa33:10004690,1002980
7632,tokiwa33:10004690,1002981
7633,tokiwa33:10004690,1000873
7634,tokiwa33:10004690,1003434
7635,tokiwa33:10004690,1002982
7636,tokiwa33:10004690,1002983
7637,tokiwa33:10004690,1003787
7638,tokiwa33:10004690,1000878
7639,tokiwa33:10004690,1004016
7640,tokiwa33:10004690,1000886
7641,whitepanther:10029835,1000320
7642,whitepanther:10029835,1002978
7643,whitepanther:10029835,1002979
7644,whitepanther:10029835,1002980
7645,whitepanther:10029835,1002982
7646,whitepanther:10029835,1003782
7647,whitepanther:10029835,1000904
7648,whitepanther:10029835,1000317
7649,whitepanther:10029835,1000878
7650,whitepanther:10029835,1003695
7651,whitepanther:10029835,1003441
7652,whitepanther:10029835,1016409
7653,whitepanther:10029835,1003677
7654,whitepanther:10029835,1000318
7655,whitepanther:10029835,1000319
7656,branicarepblic:10013129,1000904
7657,branicarepblic:10013129,1009340
7658,branicarepblic:10013129,1003679
7659,branicarepblic:10013129,1003439
7660,cherry-bomb:10000183,1003688
7661,cherry-bomb:10000183,1000876
7662,cherry-bomb:10000183,1003789
7663,cherry-bomb:10000183,1003678
7664,tabuchi:10000636,1003688
7665,tabuchi:10000636,1000873
7666,tabuchi:10000636,1003434
7667,tabuchi:10000636,1000904
7668,tabuchi:10000636,1004015
7669,tabuchi:10000636,1016405
7670,tabuchi:10000636,1003678
7671,urubei:10003582,1000320
